"dt_sin_pri","n.casos"
2020-01-26,1
2020-03-01,1
2020-03-08,2
2020-03-15,7
2020-03-22,24
2020-03-29,37
2020-04-05,51
2020-04-12,53
2020-04-19,66
2020-04-26,102
2020-05-03,117
2020-05-10,130
2020-05-17,144
2020-05-24,139
2020-05-31,111
2020-06-07,110
2020-06-14,119
2020-06-21,88
2020-06-28,70
2020-07-05,56
2020-07-12,74
2020-07-19,69
2020-07-26,44
2020-08-02,48
2020-08-09,48
2020-08-16,76
2020-08-23,57
2020-08-30,54
2020-09-06,59
2020-09-13,43
2020-09-20,50
2020-09-27,37
2020-10-04,33
2020-10-11,41
2020-10-18,34
2020-10-25,56
2020-11-01,57
2020-11-08,61
2020-11-15,84
2020-11-22,60
2020-11-29,66
2020-12-06,65
2020-12-13,66
2020-12-20,62
2020-12-27,40
2021-01-03,48
2021-01-10,43
2021-01-17,31
2021-01-24,37
2021-01-31,35
2021-02-07,43
2021-02-14,48
2021-02-21,59
2021-02-28,44
2021-03-07,80
2021-03-14,113
2021-03-21,157
2021-03-28,106
2021-04-04,122
2021-04-11,103
2021-04-18,79
2021-04-25,72
2021-05-02,67
2021-05-09,62
2021-05-16,53
2021-05-23,67
2021-05-30,55
2021-06-06,72
2021-06-13,60
2021-06-20,41
2021-06-27,32
2021-07-04,23
2021-07-11,22
2021-07-18,12
2021-07-25,10
2021-08-01,19
2021-08-08,13
2021-08-15,17
2021-08-22,9
2021-08-29,16
2021-09-05,9
2021-09-12,16
2021-09-19,8
2021-09-26,20
2021-10-03,7
2021-10-10,6
2021-10-17,1
