"dt_sin_pri","n.casos"
2020-03-22,1
2020-04-05,1
2020-04-12,1
2020-05-03,3
2020-05-10,1
2020-05-17,2
2020-05-24,2
2020-05-31,5
2020-06-07,5
2020-06-14,8
2020-06-21,5
2020-06-28,6
2020-07-05,14
2020-07-12,13
2020-07-19,21
2020-07-26,23
2020-08-02,16
2020-08-09,20
2020-08-16,14
2020-08-23,12
2020-08-30,12
2020-09-06,13
2020-09-13,5
2020-09-20,3
2020-09-27,4
2020-10-04,1
2020-10-25,3
2020-11-01,1
2020-11-08,3
2020-11-15,10
2020-11-22,8
2020-11-29,3
2020-12-06,7
2020-12-13,7
2020-12-20,4
2020-12-27,9
2021-01-03,15
2021-01-10,18
2021-01-17,18
2021-01-24,11
2021-01-31,18
2021-02-07,12
2021-02-14,12
2021-02-21,9
2021-02-28,15
2021-03-07,20
2021-03-14,35
2021-03-21,25
2021-03-28,17
2021-04-04,29
2021-04-11,32
2021-04-18,39
2021-04-25,51
2021-05-02,58
2021-05-09,46
2021-05-16,40
2021-05-23,43
2021-05-30,44
2021-06-06,47
2021-06-13,46
2021-06-20,27
2021-06-27,36
2021-07-04,33
2021-07-11,19
2021-07-18,18
2021-07-25,18
2021-08-01,11
2021-08-08,13
2021-08-15,11
2021-08-22,12
2021-08-29,8
2021-09-05,8
2021-09-12,6
2021-09-19,6
2021-09-26,1
2021-10-03,5
