"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-29,1,NA,NA,NA,1,NA,NA,NA
2020-04-05,2,NA,NA,NA,2,NA,NA,NA
2020-04-12,4,NA,NA,NA,4,NA,NA,NA
2020-04-19,6,NA,NA,NA,6,NA,NA,NA
2020-04-26,7,NA,NA,NA,7,NA,NA,NA
2020-05-03,8,NA,NA,NA,8,NA,NA,NA
2020-05-10,9,NA,NA,NA,9,NA,NA,NA
2020-05-17,12,NA,NA,NA,12,NA,NA,NA
2020-05-24,13,NA,NA,NA,13,NA,NA,NA
2020-05-31,15,NA,NA,NA,15,NA,NA,NA
2020-06-07,17,NA,NA,NA,17,NA,NA,NA
2020-06-14,19,NA,NA,NA,19,NA,NA,NA
2020-06-21,24,NA,NA,NA,24,NA,NA,NA
2020-06-28,30,NA,NA,NA,30,NA,NA,NA
2020-07-05,35,NA,NA,NA,35,NA,NA,NA
2020-07-12,46,NA,NA,NA,46,NA,NA,NA
2020-07-19,58,NA,NA,NA,58,NA,NA,NA
2020-07-26,67,NA,NA,NA,67,NA,NA,NA
2020-08-02,87,NA,NA,NA,87,NA,NA,NA
2020-08-09,104,NA,NA,NA,104,NA,NA,NA
2020-08-16,117,NA,NA,NA,117,NA,NA,NA
2020-08-23,131,NA,NA,NA,131,NA,NA,NA
2020-08-30,144,NA,NA,NA,144,NA,NA,NA
2020-09-06,156,NA,NA,NA,156,NA,NA,NA
2020-09-13,169,NA,NA,NA,169,NA,NA,NA
2020-09-20,178,NA,NA,NA,178,NA,NA,NA
2020-09-27,194,NA,NA,NA,194,NA,NA,NA
2020-10-04,209,NA,NA,NA,209,NA,NA,NA
2020-10-11,218,NA,NA,NA,218,NA,NA,NA
2020-10-18,233,NA,NA,NA,233,NA,NA,NA
2020-10-25,245,NA,NA,NA,245,NA,NA,NA
2020-11-01,251,NA,NA,NA,251,NA,NA,NA
2020-11-08,255,NA,NA,NA,255,NA,NA,NA
2020-11-15,260,NA,NA,NA,260,NA,NA,NA
2020-11-22,268,NA,NA,NA,268,NA,NA,NA
2020-11-29,272,NA,NA,NA,272,NA,NA,NA
2020-12-06,277,NA,NA,NA,277,NA,NA,NA
2020-12-13,282,NA,NA,NA,282,NA,NA,NA
2020-12-20,289,NA,NA,NA,289,NA,NA,NA
2020-12-27,298,NA,NA,NA,298,NA,NA,NA
2021-01-03,307,NA,NA,NA,307,NA,NA,NA
2021-01-10,321,NA,NA,NA,321,NA,NA,NA
2021-01-17,332,NA,NA,NA,332,NA,NA,NA
2021-01-24,346,NA,NA,NA,346,NA,NA,NA
2021-01-31,360,NA,NA,NA,360,NA,NA,NA
2021-02-07,378,NA,NA,NA,378,NA,NA,NA
2021-02-14,396,NA,NA,NA,396,NA,NA,NA
2021-02-21,406,NA,NA,NA,406,NA,NA,NA
2021-02-28,422,NA,NA,NA,422,NA,NA,NA
2021-03-07,447,NA,NA,NA,447,NA,NA,NA
2021-03-14,479,NA,NA,NA,479,NA,NA,NA
2021-03-21,518,NA,NA,NA,518,NA,NA,NA
2021-03-28,576,NA,NA,NA,576,NA,NA,NA
2021-04-04,630,NA,NA,NA,630,NA,NA,NA
2021-04-11,674,NA,NA,NA,674,NA,NA,NA
2021-04-18,711,NA,NA,NA,711,NA,NA,NA
2021-04-25,747,NA,NA,NA,747,NA,NA,NA
2021-05-02,776,NA,NA,NA,776,NA,NA,NA
2021-05-09,806,NA,NA,NA,806,NA,NA,NA
2021-05-16,835,NA,NA,NA,835,NA,NA,NA
2021-05-23,867,NA,NA,NA,867,NA,NA,NA
2021-05-30,898,NA,NA,NA,898,NA,NA,NA
2021-06-06,939,NA,NA,NA,939,NA,NA,NA
2021-06-13,981,NA,NA,NA,981,NA,NA,NA
2021-06-20,1033,NA,NA,NA,1033,NA,NA,NA
2021-06-27,1067,NA,NA,NA,1067,NA,NA,NA
2021-07-04,1105,NA,NA,NA,1105,NA,NA,NA
2021-07-11,1127,NA,NA,NA,1127,NA,NA,NA
2021-07-18,1150,NA,NA,NA,1150,NA,NA,NA
2021-07-25,1171,NA,NA,NA,1171,NA,NA,NA
2021-08-01,1195,NA,NA,NA,1195,NA,NA,NA
2021-08-08,1207,NA,NA,NA,1207,NA,NA,NA
2021-08-15,1217,NA,NA,NA,1217,NA,NA,NA
2021-08-22,1221,NA,NA,NA,1221,NA,NA,NA
2021-08-29,1226,NA,NA,NA,1226,NA,NA,NA
2021-09-05,1229,NA,NA,NA,1229,NA,NA,NA
2021-09-12,1232,NA,NA,NA,1232,NA,NA,NA
2021-09-19,1233,NA,NA,NA,1233,NA,NA,NA
2021-09-26,1234,NA,NA,NA,1234,NA,NA,NA
2021-10-03,1234,NA,NA,NA,1234,NA,NA,NA
2021-10-10,1234,NA,NA,NA,1234,NA,NA,NA
2021-10-17,1234,NA,NA,NA,1234,NA,NA,NA
2021-10-24,1237,1237,1237,1248,1237,1237,1237,1237
2021-10-31,NA,1238,1238,1251,NA,1237,1237,1237
