"dt_notific","n.notific"
2020-02-23,1
2020-03-01,1
2020-03-08,1
2020-03-15,21
2020-03-22,433
2020-03-29,1398
2020-04-05,1909
2020-04-12,1674
2020-04-19,1916
2020-04-26,2370
2020-05-03,2794
2020-05-10,2879
2020-05-17,2968
2020-05-24,3177
2020-05-31,2755
2020-06-07,2497
2020-06-14,2312
2020-06-21,2100
2020-06-28,1891
2020-07-05,1814
2020-07-12,1932
2020-07-19,1887
2020-07-26,1926
2020-08-02,1971
2020-08-09,1453
2020-08-16,1353
2020-08-23,1135
2020-08-30,1063
2020-09-06,1136
2020-09-13,986
2020-09-20,999
2020-09-27,790
2020-10-04,778
2020-10-11,686
2020-10-18,588
2020-10-25,654
2020-11-01,792
2020-11-08,746
2020-11-15,1037
2020-11-22,1364
2020-11-29,1543
2020-12-06,1593
2020-12-13,1621
2020-12-20,1576
2020-12-27,1329
2021-01-03,1611
2021-01-10,2148
2021-01-17,2135
2021-01-24,1780
2021-01-31,1495
2021-02-07,1337
2021-02-14,1370
2021-02-21,1659
2021-02-28,2223
2021-03-07,3136
2021-03-14,4146
2021-03-21,5024
2021-03-28,5006
2021-04-04,4071
2021-04-11,3656
2021-04-18,3238
2021-04-25,2754
2021-05-02,2696
2021-05-09,2531
2021-05-16,2633
2021-05-23,2864
2021-05-30,2957
2021-06-06,2747
2021-06-13,3008
2021-06-20,2342
2021-06-27,2050
2021-07-04,1646
2021-07-11,1389
2021-07-18,1530
2021-07-25,1100
2021-08-01,770
2021-08-08,784
2021-08-15,831
2021-08-22,616
2021-08-29,638
2021-09-05,609
2021-09-12,592
2021-09-19,552
2021-09-26,541
2021-10-03,506
2021-10-10,345
2021-10-17,321
2021-10-24,198
2021-10-31,207
