"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-04-05,1,NA,1,NA,NA,NA
2020-04-12,1,NA,1,NA,NA,NA
2020-05-10,3,NA,3,NA,NA,NA
2020-06-14,1,NA,1,NA,NA,NA
2020-06-21,2,NA,2,NA,NA,NA
2020-06-28,3,NA,3,NA,NA,NA
2020-07-05,2,NA,2,NA,NA,NA
2020-07-12,2,NA,2,NA,NA,NA
2020-07-19,2,NA,2,NA,NA,NA
2020-08-02,1,NA,1,NA,NA,NA
2020-08-16,1,NA,1,NA,NA,NA
2020-08-23,2,NA,2,NA,NA,NA
2020-09-06,1,NA,1,NA,NA,NA
2020-09-13,1,NA,1,NA,NA,NA
2020-10-04,1,NA,1,NA,NA,NA
2020-10-25,1,NA,1,NA,NA,NA
2020-11-08,2,NA,2,NA,NA,NA
2020-11-15,1,NA,1,NA,NA,NA
2020-11-29,1,NA,1,NA,NA,NA
2020-12-06,1,NA,1,NA,NA,NA
2020-12-13,4,NA,4,NA,NA,NA
2020-12-20,1,NA,1,NA,NA,NA
2020-12-27,4,NA,4,NA,NA,NA
2021-01-03,3,NA,3,NA,NA,NA
2021-01-10,3,NA,3,NA,NA,NA
2021-01-17,4,NA,4,NA,NA,NA
2021-01-24,2,NA,2,NA,NA,NA
2021-01-31,9,NA,9,NA,NA,NA
2021-02-07,2,NA,2,NA,NA,NA
2021-02-14,1,NA,1,NA,NA,NA
2021-02-21,1,NA,1,NA,NA,NA
2021-02-28,4,NA,4,NA,NA,NA
2021-03-07,3,NA,3,NA,NA,NA
2021-03-14,19,NA,19,NA,NA,NA
2021-03-21,22,NA,22,NA,NA,NA
2021-03-28,36,NA,36,NA,NA,NA
2021-04-04,18,NA,18,NA,NA,NA
2021-04-11,24,NA,24,NA,NA,NA
2021-04-18,25,NA,25,NA,NA,NA
2021-04-25,8,NA,8,NA,NA,NA
2021-05-02,15,NA,15,NA,NA,NA
2021-05-09,9,NA,9,NA,NA,NA
2021-05-16,15,NA,15,NA,NA,NA
2021-05-23,15,NA,15,NA,NA,NA
2021-05-30,24,NA,24,NA,NA,NA
2021-06-06,19,NA,19,NA,NA,NA
2021-06-13,21,NA,21,NA,NA,NA
2021-06-20,16,NA,16,NA,NA,NA
2021-06-27,16,NA,16,NA,NA,NA
2021-07-04,8,NA,8,NA,NA,NA
2021-07-11,3,NA,3,NA,NA,NA
2021-07-18,4,NA,4,NA,NA,NA
2021-07-25,NA,NA,2,NA,NA,NA
2021-08-01,NA,7,7,NA,7,8
2021-08-08,NA,4,4,NA,4,5
2021-08-15,NA,3,3,NA,3,4
2021-08-22,NA,4,4,NA,4,5
2021-08-29,NA,2,2,NA,2,3
2021-09-05,NA,0,0,NA,0,1
2021-09-12,NA,1,1,NA,1,2
2021-09-19,NA,0,0,NA,0,1
2021-09-26,NA,0,0,NA,0,2
