"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,30,NA,NA,NA,30,NA,NA,NA
2020-03-22,42,NA,NA,NA,42,NA,NA,NA
2020-03-29,51,NA,NA,NA,51,NA,NA,NA
2020-04-05,64,NA,NA,NA,64,NA,NA,NA
2020-04-12,73,NA,NA,NA,73,NA,NA,NA
2020-04-19,78,NA,NA,NA,78,NA,NA,NA
2020-04-26,88,NA,NA,NA,88,NA,NA,NA
2020-05-03,103,NA,NA,NA,103,NA,NA,NA
2020-05-10,112,NA,NA,NA,112,NA,NA,NA
2020-05-17,121,NA,NA,NA,121,NA,NA,NA
2020-05-24,126,NA,NA,NA,126,NA,NA,NA
2020-05-31,136,NA,NA,NA,136,NA,NA,NA
2020-06-07,148,NA,NA,NA,148,NA,NA,NA
2020-06-14,155,NA,NA,NA,155,NA,NA,NA
2020-06-21,169,NA,NA,NA,169,NA,NA,NA
2020-06-28,188,NA,NA,NA,188,NA,NA,NA
2020-07-05,216,NA,NA,NA,216,NA,NA,NA
2020-07-12,244,NA,NA,NA,244,NA,NA,NA
2020-07-19,268,NA,NA,NA,268,NA,NA,NA
2020-07-26,307,NA,NA,NA,307,NA,NA,NA
2020-08-02,345,NA,NA,NA,345,NA,NA,NA
2020-08-09,374,NA,NA,NA,374,NA,NA,NA
2020-08-16,403,NA,NA,NA,403,NA,NA,NA
2020-08-23,433,NA,NA,NA,433,NA,NA,NA
2020-08-30,462,NA,NA,NA,462,NA,NA,NA
2020-09-06,518,NA,NA,NA,518,NA,NA,NA
2020-09-13,553,NA,NA,NA,553,NA,NA,NA
2020-09-20,594,NA,NA,NA,594,NA,NA,NA
2020-09-27,629,NA,NA,NA,629,NA,NA,NA
2020-10-04,665,NA,NA,NA,665,NA,NA,NA
2020-10-11,692,NA,NA,NA,692,NA,NA,NA
2020-10-18,709,NA,NA,NA,709,NA,NA,NA
2020-10-25,721,NA,NA,NA,721,NA,NA,NA
2020-11-01,737,NA,NA,NA,737,NA,NA,NA
2020-11-08,746,NA,NA,NA,746,NA,NA,NA
2020-11-15,766,NA,NA,NA,766,NA,NA,NA
2020-11-22,779,NA,NA,NA,779,NA,NA,NA
2020-11-29,792,NA,NA,NA,792,NA,NA,NA
2020-12-06,802,NA,NA,NA,802,NA,NA,NA
2020-12-13,817,NA,NA,NA,817,NA,NA,NA
2020-12-20,839,NA,NA,NA,839,NA,NA,NA
2020-12-27,873,NA,NA,NA,873,NA,NA,NA
2021-01-03,951,NA,NA,NA,951,NA,NA,NA
2021-01-10,1025,NA,NA,NA,1025,NA,NA,NA
2021-01-17,1099,NA,NA,NA,1099,NA,NA,NA
2021-01-24,1161,NA,NA,NA,1161,NA,NA,NA
2021-01-31,1211,NA,NA,NA,1211,NA,NA,NA
2021-02-07,1266,NA,NA,NA,1266,NA,NA,NA
2021-02-14,1313,NA,NA,NA,1313,NA,NA,NA
2021-02-21,1359,NA,NA,NA,1359,NA,NA,NA
2021-02-28,1401,NA,NA,NA,1401,NA,NA,NA
2021-03-07,1451,NA,NA,NA,1451,NA,NA,NA
2021-03-14,1490,NA,NA,NA,1490,NA,NA,NA
2021-03-21,1525,NA,NA,NA,1525,NA,NA,NA
2021-03-28,1565,NA,NA,NA,1565,NA,NA,NA
2021-04-04,1611,NA,NA,NA,1611,NA,NA,NA
2021-04-11,1661,NA,NA,NA,1661,NA,NA,NA
2021-04-18,1713,NA,NA,NA,1713,NA,NA,NA
2021-04-25,1773,NA,NA,NA,1773,NA,NA,NA
2021-05-02,1864,NA,NA,NA,1864,NA,NA,NA
2021-05-09,1932,NA,NA,NA,1932,NA,NA,NA
2021-05-16,2013,NA,NA,NA,2013,NA,NA,NA
2021-05-23,2102,NA,NA,NA,2102,NA,NA,NA
2021-05-30,2189,NA,NA,NA,2189,NA,NA,NA
2021-06-06,2275,NA,NA,NA,2275,NA,NA,NA
2021-06-13,2346,NA,NA,NA,2346,NA,NA,NA
2021-06-20,2381,NA,NA,NA,2381,NA,NA,NA
2021-06-27,2404,NA,NA,NA,2404,NA,NA,NA
2021-07-04,2448,NA,NA,NA,2448,NA,NA,NA
2021-07-11,2488,NA,NA,NA,2488,NA,NA,NA
2021-07-18,2524,NA,NA,NA,2524,NA,NA,NA
2021-07-25,2561,NA,NA,NA,2561,NA,NA,NA
2021-08-01,2594,NA,NA,NA,2594,NA,NA,NA
2021-08-08,2619,NA,NA,NA,2619,NA,NA,NA
2021-08-15,2639,NA,NA,NA,2639,NA,NA,NA
2021-08-22,2655,NA,NA,NA,2655,NA,NA,NA
2021-08-29,2680,NA,NA,NA,2680,NA,NA,NA
2021-09-05,2706,NA,NA,NA,2706,NA,NA,NA
2021-09-12,2732,NA,NA,NA,2730,NA,NA,NA
2021-09-19,2761,NA,NA,NA,2757,NA,NA,NA
2021-09-26,2776,NA,NA,NA,2768,NA,NA,NA
2021-10-03,2804,NA,NA,NA,2783,NA,NA,NA
2021-10-10,2830,2830,2803,2882,2785,2785,2785,2785
2021-10-17,NA,2858,2822,2926,NA,2786,2785,2786
