"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-22,1,NA,1,NA,NA,NA
2020-04-05,1,NA,1,NA,NA,NA
2020-04-12,1,NA,1,NA,NA,NA
2020-04-19,1,NA,1,NA,NA,NA
2020-05-03,1,NA,1,NA,NA,NA
2020-05-17,2,NA,2,NA,NA,NA
2020-05-31,2,NA,2,NA,NA,NA
2020-06-14,5,NA,5,NA,NA,NA
2020-06-21,2,NA,2,NA,NA,NA
2020-06-28,7,NA,7,NA,NA,NA
2020-07-05,6,NA,6,NA,NA,NA
2020-07-12,9,NA,9,NA,NA,NA
2020-07-19,4,NA,4,NA,NA,NA
2020-07-26,11,NA,11,NA,NA,NA
2020-08-02,4,NA,4,NA,NA,NA
2020-08-09,7,NA,7,NA,NA,NA
2020-08-16,6,NA,6,NA,NA,NA
2020-08-23,13,NA,13,NA,NA,NA
2020-08-30,11,NA,11,NA,NA,NA
2020-09-06,7,NA,7,NA,NA,NA
2020-09-13,6,NA,6,NA,NA,NA
2020-09-20,8,NA,8,NA,NA,NA
2020-09-27,6,NA,6,NA,NA,NA
2020-10-04,7,NA,7,NA,NA,NA
2020-10-11,6,NA,6,NA,NA,NA
2020-10-18,6,NA,6,NA,NA,NA
2020-10-25,3,NA,3,NA,NA,NA
2020-11-01,5,NA,5,NA,NA,NA
2020-11-08,7,NA,7,NA,NA,NA
2020-11-15,3,NA,3,NA,NA,NA
2020-11-22,1,NA,1,NA,NA,NA
2020-11-29,2,NA,2,NA,NA,NA
2020-12-06,10,NA,10,NA,NA,NA
2020-12-13,3,NA,3,NA,NA,NA
2020-12-20,3,NA,3,NA,NA,NA
2020-12-27,6,NA,6,NA,NA,NA
2021-01-03,11,NA,11,NA,NA,NA
2021-01-10,14,NA,14,NA,NA,NA
2021-01-17,15,NA,15,NA,NA,NA
2021-01-24,14,NA,14,NA,NA,NA
2021-01-31,23,NA,23,NA,NA,NA
2021-02-07,33,NA,33,NA,NA,NA
2021-02-14,36,NA,36,NA,NA,NA
2021-02-21,44,NA,44,NA,NA,NA
2021-02-28,39,NA,39,NA,NA,NA
2021-03-07,28,NA,28,NA,NA,NA
2021-03-14,28,NA,28,NA,NA,NA
2021-03-21,18,NA,18,NA,NA,NA
2021-03-28,20,NA,20,NA,NA,NA
2021-04-04,13,NA,13,NA,NA,NA
2021-04-11,8,NA,8,NA,NA,NA
2021-04-18,17,NA,17,NA,NA,NA
2021-04-25,16,NA,16,NA,NA,NA
2021-05-02,7,NA,7,NA,NA,NA
2021-05-09,12,NA,12,NA,NA,NA
2021-05-16,15,NA,15,NA,NA,NA
2021-05-23,12,NA,12,NA,NA,NA
2021-05-30,20,NA,20,NA,NA,NA
2021-06-06,27,NA,27,NA,NA,NA
2021-06-13,14,NA,14,NA,NA,NA
2021-06-20,14,NA,14,NA,NA,NA
2021-06-27,7,NA,7,NA,NA,NA
2021-07-04,NA,11,11,NA,11,12
2021-07-11,NA,13,13,NA,13,15
2021-07-18,NA,8,8,NA,8,11
2021-07-25,NA,7,7,NA,6,10
2021-08-01,NA,4,4,NA,3,8
2021-08-08,NA,6,6,NA,5,10
2021-08-15,NA,9,9,NA,7,13
2021-08-22,NA,7,7,NA,2,14
2021-08-29,NA,7,7,NA,1,16
