"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-04-19,2,NA,2,NA,NA,NA
2020-04-26,1,NA,1,NA,NA,NA
2020-05-03,1,NA,1,NA,NA,NA
2020-05-24,1,NA,1,NA,NA,NA
2020-06-14,2,NA,2,NA,NA,NA
2020-06-28,1,NA,1,NA,NA,NA
2020-07-05,1,NA,1,NA,NA,NA
2020-07-12,1,NA,1,NA,NA,NA
2020-07-19,2,NA,2,NA,NA,NA
2020-07-26,1,NA,1,NA,NA,NA
2020-08-02,7,NA,7,NA,NA,NA
2020-08-09,4,NA,4,NA,NA,NA
2020-08-16,2,NA,2,NA,NA,NA
2020-08-23,4,NA,4,NA,NA,NA
2020-08-30,5,NA,5,NA,NA,NA
2020-09-06,1,NA,1,NA,NA,NA
2020-09-13,2,NA,2,NA,NA,NA
2020-09-20,4,NA,4,NA,NA,NA
2020-09-27,1,NA,1,NA,NA,NA
2020-10-04,2,NA,2,NA,NA,NA
2020-10-11,1,NA,1,NA,NA,NA
2020-10-18,3,NA,3,NA,NA,NA
2020-11-01,1,NA,1,NA,NA,NA
2020-11-08,2,NA,2,NA,NA,NA
2020-11-22,1,NA,1,NA,NA,NA
2020-12-13,3,NA,3,NA,NA,NA
2020-12-20,3,NA,3,NA,NA,NA
2020-12-27,2,NA,2,NA,NA,NA
2021-01-03,4,NA,4,NA,NA,NA
2021-01-10,7,NA,7,NA,NA,NA
2021-01-17,6,NA,6,NA,NA,NA
2021-01-24,5,NA,5,NA,NA,NA
2021-01-31,3,NA,3,NA,NA,NA
2021-02-14,3,NA,3,NA,NA,NA
2021-02-21,1,NA,1,NA,NA,NA
2021-02-28,4,NA,4,NA,NA,NA
2021-03-14,6,NA,6,NA,NA,NA
2021-03-21,7,NA,7,NA,NA,NA
2021-03-28,10,NA,10,NA,NA,NA
2021-04-04,13,NA,13,NA,NA,NA
2021-04-11,14,NA,14,NA,NA,NA
2021-04-18,5,NA,5,NA,NA,NA
2021-04-25,9,NA,9,NA,NA,NA
2021-05-02,7,NA,7,NA,NA,NA
2021-05-09,4,NA,4,NA,NA,NA
2021-05-16,2,NA,2,NA,NA,NA
2021-05-23,6,NA,6,NA,NA,NA
2021-05-30,4,NA,4,NA,NA,NA
2021-06-06,6,NA,6,NA,NA,NA
2021-06-13,4,NA,4,NA,NA,NA
2021-06-20,7,NA,7,NA,NA,NA
2021-06-27,3,NA,3,NA,NA,NA
2021-07-04,3,NA,3,NA,NA,NA
2021-07-11,7,NA,7,NA,NA,NA
2021-07-18,2,NA,2,NA,NA,NA
2021-07-25,1,NA,1,NA,NA,NA
2021-08-01,4,NA,4,NA,NA,NA
2021-08-15,2,NA,2,NA,NA,NA
2021-08-22,NA,NA,1,NA,NA,NA
2021-08-29,NA,1,1,NA,1,3
2021-09-05,NA,0,0,NA,0,0
2021-09-12,NA,0,0,NA,0,0
2021-09-19,NA,0,0,NA,0,0
2021-09-26,NA,0,0,NA,0,0
2021-10-03,NA,0,0,NA,0,0
2021-10-10,NA,0,0,NA,0,0
2021-10-17,NA,0,0,NA,0,0
2021-10-24,NA,0,0,NA,0,0
