"dt_notific","n.notific"
2020-07-12,1
2020-08-02,1
2020-08-16,1
2020-08-23,1
2020-08-30,3
2020-09-06,1
2020-09-20,2
2020-09-27,1
2020-10-11,4
2020-10-18,2
2020-12-13,1
2021-01-03,4
2021-01-10,2
2021-01-17,3
2021-01-24,3
2021-02-07,2
2021-02-14,5
2021-02-21,2
2021-02-28,2
2021-03-07,1
2021-03-14,1
2021-03-21,3
2021-03-28,4
2021-04-04,5
2021-04-11,7
2021-04-18,7
2021-04-25,2
2021-05-02,5
2021-05-09,2
2021-05-30,3
2021-06-06,3
2021-06-13,1
2021-06-20,1
2021-06-27,2
2021-07-04,1
2021-07-11,2
2021-07-18,1
2021-07-25,4
2021-08-01,1
2021-08-08,2
2021-08-22,1
2021-08-29,1
