"dt_evoluca","n.casos"
2020-03-01,1
2020-03-15,1
2020-04-05,1
2020-04-12,3
2020-05-10,6
2020-05-17,1
2020-06-07,2
2020-06-14,1
2020-06-21,3
2020-06-28,4
2020-07-05,2
2020-07-12,4
2020-07-19,2
2020-07-26,1
2020-08-02,1
2020-08-09,1
2020-08-16,1
2020-08-23,2
2020-08-30,2
2020-09-06,3
2020-09-13,1
2020-09-20,1
2020-10-04,1
2020-10-25,1
2020-11-08,2
2020-11-15,1
2020-11-22,1
2020-11-29,2
2020-12-06,1
2020-12-13,5
2020-12-20,2
2020-12-27,5
2021-01-03,3
2021-01-10,5
2021-01-17,5
2021-01-24,2
2021-01-31,10
2021-02-07,3
2021-02-14,1
2021-02-21,1
2021-02-28,4
2021-03-07,5
2021-03-14,20
2021-03-21,23
2021-03-28,36
2021-04-04,18
2021-04-11,25
2021-04-18,26
2021-04-25,8
2021-05-02,15
2021-05-09,9
2021-05-16,16
2021-05-23,15
2021-05-30,25
2021-06-06,19
2021-06-13,21
2021-06-20,16
2021-06-27,17
2021-07-04,8
2021-07-11,3
2021-07-18,4
2021-07-25,1
2021-08-01,2
2021-08-08,7
2021-08-15,4
2021-08-22,5
2021-08-29,4
2021-09-05,2
2021-09-12,1
2021-09-19,1
