"dt_notific","n.notific"
2020-03-29,9
2020-04-05,4
2020-04-12,1
2020-04-19,1
2020-04-26,2
2020-05-03,2
2020-05-10,1
2020-05-17,6
2020-05-24,10
2020-05-31,10
2020-06-07,32
2020-06-14,35
2020-06-21,29
2020-06-28,38
2020-07-05,42
2020-07-12,39
2020-07-19,34
2020-07-26,36
2020-08-02,29
2020-08-09,32
2020-08-16,27
2020-08-23,11
2020-08-30,6
2020-09-06,13
2020-09-13,17
2020-09-20,7
2020-09-27,9
2020-10-04,8
2020-10-11,10
2020-10-18,12
2020-10-25,4
2020-11-01,6
2020-11-08,2
2020-11-15,7
2020-11-22,6
2020-11-29,16
2020-12-06,15
2020-12-13,17
2020-12-20,17
2020-12-27,17
2021-01-03,17
2021-01-10,17
2021-01-17,28
2021-01-24,31
2021-01-31,34
2021-02-07,31
2021-02-14,36
2021-02-21,38
2021-02-28,44
2021-03-07,31
2021-03-14,34
2021-03-21,47
2021-03-28,29
2021-04-04,44
2021-04-11,19
2021-04-18,15
2021-04-25,9
2021-05-02,19
2021-05-09,22
2021-05-16,19
2021-05-23,18
2021-05-30,18
2021-06-06,20
2021-06-13,25
2021-06-20,12
2021-06-27,7
2021-07-04,5
2021-07-11,5
2021-07-18,6
2021-07-25,5
2021-08-01,7
2021-08-08,7
2021-08-15,5
2021-08-22,4
2021-08-29,1
2021-09-05,1
