"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-04-26,1,NA,1,NA,NA,NA
2020-06-07,1,NA,1,NA,NA,NA
2020-07-12,1,NA,1,NA,NA,NA
2020-07-19,8,NA,8,NA,NA,NA
2020-07-26,3,NA,3,NA,NA,NA
2020-08-02,8,NA,8,NA,NA,NA
2020-08-09,4,NA,4,NA,NA,NA
2020-08-23,2,NA,2,NA,NA,NA
2020-08-30,1,NA,1,NA,NA,NA
2020-09-06,2,NA,2,NA,NA,NA
2020-09-13,4,NA,4,NA,NA,NA
2020-10-11,2,NA,2,NA,NA,NA
2020-10-18,1,NA,1,NA,NA,NA
2020-11-01,1,NA,1,NA,NA,NA
2020-11-08,2,NA,2,NA,NA,NA
2020-11-22,3,NA,3,NA,NA,NA
2020-11-29,1,NA,1,NA,NA,NA
2020-12-06,2,NA,2,NA,NA,NA
2020-12-13,1,NA,1,NA,NA,NA
2020-12-20,2,NA,2,NA,NA,NA
2020-12-27,3,NA,3,NA,NA,NA
2021-01-03,4,NA,4,NA,NA,NA
2021-01-10,1,NA,1,NA,NA,NA
2021-01-17,4,NA,4,NA,NA,NA
2021-01-24,1,NA,1,NA,NA,NA
2021-01-31,4,NA,4,NA,NA,NA
2021-02-07,2,NA,2,NA,NA,NA
2021-02-14,2,NA,2,NA,NA,NA
2021-02-21,6,NA,6,NA,NA,NA
2021-02-28,4,NA,4,NA,NA,NA
2021-03-07,6,NA,6,NA,NA,NA
2021-03-14,8,NA,8,NA,NA,NA
2021-03-21,3,NA,3,NA,NA,NA
2021-03-28,5,NA,5,NA,NA,NA
2021-04-04,4,NA,4,NA,NA,NA
2021-04-11,6,NA,6,NA,NA,NA
2021-04-18,7,NA,7,NA,NA,NA
2021-04-25,4,NA,4,NA,NA,NA
2021-05-02,13,NA,13,NA,NA,NA
2021-05-09,12,NA,12,NA,NA,NA
2021-05-16,11,NA,11,NA,NA,NA
2021-05-23,12,NA,12,NA,NA,NA
2021-05-30,22,NA,22,NA,NA,NA
2021-06-06,10,NA,10,NA,NA,NA
2021-06-13,17,NA,17,NA,NA,NA
2021-06-20,13,NA,13,NA,NA,NA
2021-06-27,9,NA,9,NA,NA,NA
2021-07-04,6,NA,6,NA,NA,NA
2021-07-11,5,NA,5,NA,NA,NA
2021-07-18,1,NA,1,NA,NA,NA
2021-07-25,4,NA,4,NA,NA,NA
2021-08-01,2,NA,2,NA,NA,NA
2021-08-08,1,NA,1,NA,NA,NA
2021-08-15,NA,7,7,NA,7,10
2021-08-22,NA,3,3,NA,3,4
2021-08-29,NA,0,0,NA,0,0
2021-09-05,NA,0,0,NA,0,0
2021-09-12,NA,0,0,NA,0,0
2021-09-19,NA,0,0,NA,0,0
2021-09-26,NA,1,1,NA,1,2
2021-10-03,NA,0,0,NA,0,0
2021-10-10,NA,0,0,NA,0,2
