"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,9,NA,NA,NA,9,NA,NA,NA
2020-03-22,24,NA,NA,NA,24,NA,NA,NA
2020-03-29,48,NA,NA,NA,48,NA,NA,NA
2020-04-05,73,NA,NA,NA,73,NA,NA,NA
2020-04-12,85,NA,NA,NA,85,NA,NA,NA
2020-04-19,111,NA,NA,NA,111,NA,NA,NA
2020-04-26,141,NA,NA,NA,141,NA,NA,NA
2020-05-03,167,NA,NA,NA,167,NA,NA,NA
2020-05-10,200,NA,NA,NA,200,NA,NA,NA
2020-05-17,224,NA,NA,NA,224,NA,NA,NA
2020-05-24,239,NA,NA,NA,239,NA,NA,NA
2020-05-31,250,NA,NA,NA,250,NA,NA,NA
2020-06-07,286,NA,NA,NA,286,NA,NA,NA
2020-06-14,329,NA,NA,NA,329,NA,NA,NA
2020-06-21,383,NA,NA,NA,383,NA,NA,NA
2020-06-28,431,NA,NA,NA,431,NA,NA,NA
2020-07-05,486,NA,NA,NA,486,NA,NA,NA
2020-07-12,549,NA,NA,NA,549,NA,NA,NA
2020-07-19,621,NA,NA,NA,621,NA,NA,NA
2020-07-26,673,NA,NA,NA,673,NA,NA,NA
2020-08-02,732,NA,NA,NA,732,NA,NA,NA
2020-08-09,787,NA,NA,NA,787,NA,NA,NA
2020-08-16,846,NA,NA,NA,846,NA,NA,NA
2020-08-23,904,NA,NA,NA,904,NA,NA,NA
2020-08-30,953,NA,NA,NA,953,NA,NA,NA
2020-09-06,1009,NA,NA,NA,1009,NA,NA,NA
2020-09-13,1055,NA,NA,NA,1055,NA,NA,NA
2020-09-20,1107,NA,NA,NA,1107,NA,NA,NA
2020-09-27,1166,NA,NA,NA,1166,NA,NA,NA
2020-10-04,1200,NA,NA,NA,1200,NA,NA,NA
2020-10-11,1240,NA,NA,NA,1240,NA,NA,NA
2020-10-18,1265,NA,NA,NA,1265,NA,NA,NA
2020-10-25,1300,NA,NA,NA,1300,NA,NA,NA
2020-11-01,1320,NA,NA,NA,1320,NA,NA,NA
2020-11-08,1354,NA,NA,NA,1354,NA,NA,NA
2020-11-15,1396,NA,NA,NA,1396,NA,NA,NA
2020-11-22,1450,NA,NA,NA,1450,NA,NA,NA
2020-11-29,1525,NA,NA,NA,1525,NA,NA,NA
2020-12-06,1596,NA,NA,NA,1596,NA,NA,NA
2020-12-13,1659,NA,NA,NA,1659,NA,NA,NA
2020-12-20,1720,NA,NA,NA,1720,NA,NA,NA
2020-12-27,1765,NA,NA,NA,1765,NA,NA,NA
2021-01-03,1837,NA,NA,NA,1837,NA,NA,NA
2021-01-10,1902,NA,NA,NA,1902,NA,NA,NA
2021-01-17,1968,NA,NA,NA,1968,NA,NA,NA
2021-01-24,2033,NA,NA,NA,2033,NA,NA,NA
2021-01-31,2087,NA,NA,NA,2087,NA,NA,NA
2021-02-07,2139,NA,NA,NA,2139,NA,NA,NA
2021-02-14,2217,NA,NA,NA,2217,NA,NA,NA
2021-02-21,2319,NA,NA,NA,2319,NA,NA,NA
2021-02-28,2424,NA,NA,NA,2424,NA,NA,NA
2021-03-07,2529,NA,NA,NA,2529,NA,NA,NA
2021-03-14,2647,NA,NA,NA,2647,NA,NA,NA
2021-03-21,2786,NA,NA,NA,2786,NA,NA,NA
2021-03-28,2908,NA,NA,NA,2908,NA,NA,NA
2021-04-04,3022,NA,NA,NA,3022,NA,NA,NA
2021-04-11,3136,NA,NA,NA,3136,NA,NA,NA
2021-04-18,3230,NA,NA,NA,3230,NA,NA,NA
2021-04-25,3328,NA,NA,NA,3328,NA,NA,NA
2021-05-02,3440,NA,NA,NA,3440,NA,NA,NA
2021-05-09,3531,NA,NA,NA,3531,NA,NA,NA
2021-05-16,3634,NA,NA,NA,3634,NA,NA,NA
2021-05-23,3748,NA,NA,NA,3748,NA,NA,NA
2021-05-30,3884,NA,NA,NA,3884,NA,NA,NA
2021-06-06,3991,NA,NA,NA,3991,NA,NA,NA
2021-06-13,4098,NA,NA,NA,4098,NA,NA,NA
2021-06-20,4178,NA,NA,NA,4178,NA,NA,NA
2021-06-27,4247,NA,NA,NA,4247,NA,NA,NA
2021-07-04,4306,NA,NA,NA,4306,NA,NA,NA
2021-07-11,4359,NA,NA,NA,4359,NA,NA,NA
2021-07-18,4407,NA,NA,NA,4407,NA,NA,NA
2021-07-25,4449,NA,NA,NA,4449,NA,NA,NA
2021-08-01,4478,NA,NA,NA,4478,NA,NA,NA
2021-08-08,4527,NA,NA,NA,4527,NA,NA,NA
2021-08-15,4566,NA,NA,NA,4566,NA,NA,NA
2021-08-22,4596,NA,NA,NA,4596,NA,NA,NA
2021-08-29,4632,NA,NA,NA,4631,NA,NA,NA
2021-09-05,4659,NA,NA,NA,4657,NA,NA,NA
2021-09-12,4688,NA,NA,NA,4685,NA,NA,NA
2021-09-19,4710,NA,NA,NA,4706,NA,NA,NA
2021-09-26,4732,4732,4710,4779,4720,4720,4720,4720
2021-10-03,NA,4754,4724,4813,NA,4722,4721,4723
